,respcolor,stimcolor,trialnum,subject,stimword,reaction_time
2513,G,G,56.0,156876.0,G,2152.0
2514,R,R,57.0,156876.0,R,1248.0
2515,B,B,58.0,156876.0,B,1152.0
2516,G,G,59.0,156876.0,G,1504.0
2517,R,R,60.0,156876.0,R,1592.0
2518,G,G,61.0,156876.0,G,1400.0
2519,R,R,62.0,156876.0,R,1096.0
2520,G,G,63.0,156876.0,G,1016.0
2521,Y,Y,64.0,156876.0,Y,1120.0
2522,R,R,65.0,156876.0,R,2032.0
2523,Y,Y,66.0,156876.0,Y,1072.0
2524,B,B,67.0,156876.0,B,1136.0
2525,R,R,68.0,156876.0,R,1008.0
2526,Y,Y,69.0,156876.0,Y,976.0
2527,B,B,70.0,156876.0,B,992.0
2528,Y,Y,71.0,156876.0,Y,1048.0
2529,G,G,72.0,156876.0,G,1040.0
2530,R,R,73.0,156876.0,R,1080.0
2531,G,G,74.0,156876.0,G,1024.0
2532,B,B,75.0,156876.0,B,1144.0
2533,R,R,76.0,156876.0,R,952.0
2534,G,G,77.0,156876.0,G,1008.0
2535,B,B,78.0,156876.0,B,1264.0
2536,Y,Y,79.0,156876.0,Y,1000.0
2537,B,B,80.0,156876.0,B,968.0
2538,Y,Y,81.0,156876.0,Y,1000.0
2539,R,R,82.0,156876.0,R,1192.0
2540,Y,Y,83.0,156876.0,Y,944.0
2541,B,B,84.0,156876.0,B,936.0
2542,Y,Y,85.0,156876.0,Y,896.0
2543,G,G,86.0,156876.0,G,936.0
2544,Y,Y,87.0,156876.0,Y,944.0
2545,R,R,88.0,156876.0,R,984.0
2546,G,G,89.0,156876.0,G,1096.0
2547,R,R,90.0,156876.0,R,984.0
2548,G,G,3.0,156877.0,Y,4992.0
2549,Y,Y,4.0,156877.0,R,1904.0
2550,R,R,5.0,156877.0,G,5320.0
2551,Y,Y,6.0,156877.0,R,3432.0
2552,B,B,7.0,156877.0,G,3856.0
2553,Y,Y,8.0,156877.0,R,1536.0
2554,B,B,9.0,156877.0,G,1656.0
2555,R,R,10.0,156877.0,B,1872.0
2556,B,B,11.0,156877.0,G,2088.0
2557,G,G,12.0,156877.0,B,5256.0
2558,G,G,14.0,156877.0,B,1552.0
2559,B,B,15.0,156877.0,Y,2208.0
2560,Y,Y,16.0,156877.0,B,1648.0
2561,B,B,17.0,156877.0,G,1752.0
2562,R,R,18.0,156877.0,Y,5344.0
2563,B,B,19.0,156877.0,R,3432.0
2564,R,R,20.0,156877.0,B,1968.0
2565,Y,Y,21.0,156877.0,G,1440.0
2566,R,R,22.0,156877.0,B,1599.0
2567,G,G,23.0,156877.0,R,1711.0
2568,R,R,24.0,156877.0,B,1560.0
2569,B,B,25.0,156877.0,G,2856.0
2570,G,G,26.0,156877.0,Y,1888.0
2571,B,B,27.0,156877.0,R,1512.0
2572,Y,Y,28.0,156877.0,G,1904.0
2573,G,G,29.0,156877.0,B,2799.0
2574,B,B,30.0,156877.0,Y,1648.0
2575,Y,Y,31.0,156877.0,G,1551.0
2576,B,B,32.0,156877.0,R,1360.0
2577,R,R,33.0,156877.0,B,1447.0
2578,B,B,34.0,156877.0,G,3256.0
2579,G,G,35.0,156877.0,Y,3560.0
2580,R,R,36.0,156877.0,G,1615.0
2581,G,G,37.0,156877.0,R,1655.0
2582,Y,Y,38.0,156877.0,G,1599.0
2583,B,B,39.0,156877.0,Y,2455.0
2584,G,G,40.0,156877.0,B,2423.0
2585,B,B,41.0,156877.0,R,1575.0
2586,G,G,42.0,156877.0,Y,2623.0
2587,Y,Y,43.0,156877.0,R,1687.0
2588,G,G,44.0,156877.0,B,1591.0
2589,R,R,45.0,156877.0,Y,2240.0
2590,R,R,47.0,156877.0,R,1424.0
2591,B,B,48.0,156877.0,B,1968.0
2592,R,R,49.0,156877.0,R,1440.0
2593,R,R,51.0,156877.0,R,5760.0
2594,Y,Y,52.0,156877.0,Y,3200.0
2595,R,R,53.0,156877.0,R,1224.0
2596,Y,Y,54.0,156877.0,Y,1104.0
2597,B,B,55.0,156877.0,B,1360.0
2598,G,G,56.0,156877.0,G,2152.0
2599,R,R,57.0,156877.0,R,1248.0
2600,B,B,58.0,156877.0,B,1152.0
2601,G,G,59.0,156877.0,G,1504.0
2602,R,R,60.0,156877.0,R,1592.0
2603,G,G,61.0,156877.0,G,1400.0
2604,R,R,62.0,156877.0,R,1096.0
2605,G,G,63.0,156877.0,G,1016.0
2606,Y,Y,64.0,156877.0,Y,1120.0
2607,R,R,65.0,156877.0,R,2032.0
2608,Y,Y,66.0,156877.0,Y,1072.0
2609,B,B,67.0,156877.0,B,1136.0
2610,R,R,68.0,156877.0,R,1008.0
2611,Y,Y,69.0,156877.0,Y,976.0
2612,B,B,70.0,156877.0,B,992.0
2613,Y,Y,71.0,156877.0,Y,1048.0
2614,G,G,72.0,156877.0,G,1040.0
2615,R,R,73.0,156877.0,R,1080.0
2616,G,G,74.0,156877.0,G,1024.0
2617,B,B,75.0,156877.0,B,1144.0
2618,R,R,76.0,156877.0,R,952.0
2619,G,G,77.0,156877.0,G,1008.0
2620,B,B,78.0,156877.0,B,1264.0
2621,Y,Y,79.0,156877.0,Y,1000.0
2622,B,B,80.0,156877.0,B,968.0
2623,Y,Y,81.0,156877.0,Y,1000.0
2624,R,R,82.0,156877.0,R,1192.0
2625,Y,Y,83.0,156877.0,Y,944.0
2626,B,B,84.0,156877.0,B,936.0
2627,Y,Y,85.0,156877.0,Y,896.0
2628,G,G,86.0,156877.0,G,936.0
2629,Y,Y,87.0,156877.0,Y,944.0
2630,R,R,88.0,156877.0,R,984.0
2631,G,G,89.0,156877.0,G,1096.0
2632,R,R,90.0,156877.0,R,984.0
2633,G,G,3.0,156878.0,Y,4992.0
2634,Y,Y,4.0,156878.0,R,1904.0
2635,R,R,5.0,156878.0,G,5320.0
2636,Y,Y,6.0,156878.0,R,3432.0
2637,B,B,7.0,156878.0,G,3856.0
2638,Y,Y,8.0,156878.0,R,1536.0
2639,B,B,9.0,156878.0,G,1656.0
2640,R,R,10.0,156878.0,B,1872.0
2641,B,B,11.0,156878.0,G,2088.0
2642,G,G,12.0,156878.0,B,5256.0
2643,G,G,14.0,156878.0,B,1552.0
2644,B,B,15.0,156878.0,Y,2208.0
2645,Y,Y,16.0,156878.0,B,1648.0
2646,B,B,17.0,156878.0,G,1752.0
2647,R,R,18.0,156878.0,Y,5344.0
2648,B,B,19.0,156878.0,R,3432.0
2649,R,R,20.0,156878.0,B,1968.0
2650,Y,Y,21.0,156878.0,G,1440.0
2651,R,R,22.0,156878.0,B,1599.0
2652,G,G,23.0,156878.0,R,1711.0
2653,R,R,24.0,156878.0,B,1560.0
2654,B,B,25.0,156878.0,G,2856.0
2655,G,G,26.0,156878.0,Y,1888.0
2656,B,B,27.0,156878.0,R,1512.0
2657,Y,Y,28.0,156878.0,G,1904.0
2658,G,G,29.0,156878.0,B,2799.0
2659,B,B,30.0,156878.0,Y,1648.0
2660,Y,Y,31.0,156878.0,G,1551.0
2661,B,B,32.0,156878.0,R,1360.0
2662,R,R,33.0,156878.0,B,1447.0
2663,B,B,34.0,156878.0,G,3256.0
2664,G,G,35.0,156878.0,Y,3560.0
2665,R,R,36.0,156878.0,G,1615.0
2666,G,G,37.0,156878.0,R,1655.0
2667,Y,Y,38.0,156878.0,G,1599.0
2668,B,B,39.0,156878.0,Y,2455.0
2669,G,G,40.0,156878.0,B,2423.0
2670,B,B,41.0,156878.0,R,1575.0
2671,G,G,42.0,156878.0,Y,2623.0
2672,Y,Y,43.0,156878.0,R,1687.0
2673,G,G,44.0,156878.0,B,1591.0
2674,R,R,45.0,156878.0,Y,2240.0
2675,R,R,47.0,156878.0,R,1424.0
2676,B,B,48.0,156878.0,B,1968.0
2677,R,R,49.0,156878.0,R,1440.0
2678,R,R,51.0,156878.0,R,5760.0
2679,Y,Y,52.0,156878.0,Y,3200.0
2680,R,R,53.0,156878.0,R,1224.0
2681,Y,Y,54.0,156878.0,Y,1104.0
2682,B,B,55.0,156878.0,B,1360.0
2683,G,G,56.0,156878.0,G,2152.0
2684,R,R,57.0,156878.0,R,1248.0
2685,B,B,58.0,156878.0,B,1152.0
2686,G,G,59.0,156878.0,G,1504.0
2687,R,R,60.0,156878.0,R,1592.0
2688,G,G,61.0,156878.0,G,1400.0
2689,R,R,62.0,156878.0,R,1096.0
2690,G,G,63.0,156878.0,G,1016.0
2691,Y,Y,64.0,156878.0,Y,1120.0
2692,R,R,65.0,156878.0,R,2032.0
2693,Y,Y,66.0,156878.0,Y,1072.0
2694,B,B,67.0,156878.0,B,1136.0
2695,R,R,68.0,156878.0,R,1008.0
2696,Y,Y,69.0,156878.0,Y,976.0
2697,B,B,70.0,156878.0,B,992.0
2698,Y,Y,71.0,156878.0,Y,1048.0
2699,G,G,72.0,156878.0,G,1040.0
2700,R,R,73.0,156878.0,R,1080.0
2701,G,G,74.0,156878.0,G,1024.0
2702,B,B,75.0,156878.0,B,1144.0
2703,R,R,76.0,156878.0,R,952.0
2704,G,G,77.0,156878.0,G,1008.0
2705,B,B,78.0,156878.0,B,1264.0
2706,Y,Y,79.0,156878.0,Y,1000.0
2707,B,B,80.0,156878.0,B,968.0
2708,Y,Y,81.0,156878.0,Y,1000.0
2709,R,R,82.0,156878.0,R,1192.0
2710,Y,Y,83.0,156878.0,Y,944.0
2711,B,B,84.0,156878.0,B,936.0
2712,Y,Y,85.0,156878.0,Y,896.0
2713,G,G,86.0,156878.0,G,936.0
2714,Y,Y,87.0,156878.0,Y,944.0
2715,R,R,88.0,156878.0,R,984.0
2716,G,G,89.0,156878.0,G,1096.0
2717,R,R,90.0,156878.0,R,984.0
2718,G,G,3.0,156879.0,Y,4992.0
2719,Y,Y,4.0,156879.0,R,1904.0
2720,R,R,5.0,156879.0,G,5320.0
2721,Y,Y,6.0,156879.0,R,3432.0
2722,B,B,7.0,156879.0,G,3856.0
2723,Y,Y,8.0,156879.0,R,1536.0
2724,B,B,9.0,156879.0,G,1656.0
2725,R,R,10.0,156879.0,B,1872.0
2726,B,B,11.0,156879.0,G,2088.0
2727,G,G,12.0,156879.0,B,5256.0
2728,G,G,14.0,156879.0,B,1552.0
2729,B,B,15.0,156879.0,Y,2208.0
2730,Y,Y,16.0,156879.0,B,1648.0
2731,B,B,17.0,156879.0,G,1752.0
2732,R,R,18.0,156879.0,Y,5344.0
2733,B,B,19.0,156879.0,R,3432.0
2734,R,R,20.0,156879.0,B,1968.0
2735,Y,Y,21.0,156879.0,G,1440.0
2736,R,R,22.0,156879.0,B,1599.0
2737,G,G,23.0,156879.0,R,1711.0
2738,R,R,24.0,156879.0,B,1560.0
2739,B,B,25.0,156879.0,G,2856.0
2740,G,G,26.0,156879.0,Y,1888.0
2741,B,B,27.0,156879.0,R,1512.0
2742,Y,Y,28.0,156879.0,G,1904.0
2743,G,G,29.0,156879.0,B,2799.0
2744,B,B,30.0,156879.0,Y,1648.0
2745,Y,Y,31.0,156879.0,G,1551.0
2746,B,B,32.0,156879.0,R,1360.0
2747,R,R,33.0,156879.0,B,1447.0
2748,B,B,34.0,156879.0,G,3256.0
2749,G,G,35.0,156879.0,Y,3560.0
2750,R,R,36.0,156879.0,G,1615.0
2751,G,G,37.0,156879.0,R,1655.0
2752,Y,Y,38.0,156879.0,G,1599.0
2753,B,B,39.0,156879.0,Y,2455.0
2754,G,G,40.0,156879.0,B,2423.0
2755,B,B,41.0,156879.0,R,1575.0
2756,G,G,42.0,156879.0,Y,2623.0
2757,Y,Y,43.0,156879.0,R,1687.0
2758,G,G,44.0,156879.0,B,1591.0
2759,R,R,45.0,156879.0,Y,2240.0
2760,R,R,47.0,156879.0,R,1424.0
2761,B,B,48.0,156879.0,B,1968.0
2762,R,R,49.0,156879.0,R,1440.0
2763,R,R,51.0,156879.0,R,5760.0
2764,Y,Y,52.0,156879.0,Y,3200.0
2765,R,R,53.0,156879.0,R,1224.0
2766,Y,Y,54.0,156879.0,Y,1104.0
2767,B,B,55.0,156879.0,B,1360.0
2768,G,G,56.0,156879.0,G,2152.0
2769,R,R,57.0,156879.0,R,1248.0
2770,B,B,58.0,156879.0,B,1152.0
2771,G,G,59.0,156879.0,G,1504.0
2772,R,R,60.0,156879.0,R,1592.0
2773,G,G,61.0,156879.0,G,1400.0
2774,R,R,62.0,156879.0,R,1096.0
2775,G,G,63.0,156879.0,G,1016.0
2776,Y,Y,64.0,156879.0,Y,1120.0
2777,R,R,65.0,156879.0,R,2032.0
2778,Y,Y,66.0,156879.0,Y,1072.0
2779,B,B,67.0,156879.0,B,1136.0
2780,R,R,68.0,156879.0,R,1008.0
2781,Y,Y,69.0,156879.0,Y,976.0
2782,B,B,70.0,156879.0,B,992.0
2783,Y,Y,71.0,156879.0,Y,1048.0
2784,G,G,72.0,156879.0,G,1040.0
2785,R,R,73.0,156879.0,R,1080.0
2786,G,G,74.0,156879.0,G,1024.0
2787,B,B,75.0,156879.0,B,1144.0
2788,R,R,76.0,156879.0,R,952.0
2789,G,G,77.0,156879.0,G,1008.0
2790,B,B,78.0,156879.0,B,1264.0
2791,Y,Y,79.0,156879.0,Y,1000.0
2792,B,B,80.0,156879.0,B,968.0
2793,Y,Y,81.0,156879.0,Y,1000.0
2794,R,R,82.0,156879.0,R,1192.0
2795,Y,Y,83.0,156879.0,Y,944.0
2796,B,B,84.0,156879.0,B,936.0
2797,Y,Y,85.0,156879.0,Y,896.0
2798,G,G,86.0,156879.0,G,936.0
2799,Y,Y,87.0,156879.0,Y,944.0
2800,R,R,88.0,156879.0,R,984.0
2801,G,G,89.0,156879.0,G,1096.0
2802,R,R,90.0,156879.0,R,984.0
